,WT1,WT2,ALE1,ALE3,ALE4,ALE5,ALE6,ALE7,ALE8,ALE9,ALE10
b4145,46443.2,33642.7,3.3655699999999995,1.73941,3.23964,8.089210000000001,4.23488,2.14348,2.87858,3.6992599999999998,4.30545
b4146,457626.0,547490.0,76.6203,57.8265,70.851,63.199,92.4876,56.2947,68.0092,69.17699999999999,54.568000000000005
b4147,5621470.0,4695440.0,1669.02,744.477,1192.41,1257.69,1813.77,1400.48,562.943,984.0369999999999,812.204
b4148,87955.3,220370.0,29.2415,55.2259,15.5337,16.1236,17.6982,0.0,70.2855,17.3433,31.4142
b4149,443641.0,368925.0,6.84087,9.92544,15.3996,9.62856,4.09465,2.56145,13.7643,14.9692,10.3761
b4150,153288.0,137660.0,18.3219,24.5108,34.2511,22.3329,38.3216,16.9124,29.8651,30.7539,21.2589
b4151,215481.0,313011.0,32.4725,198.18900000000002,22.2071,19.1584,27.7158,40.1522,597.0740000000001,51.7611,125.99
b4152,231918.0,226381.0,13.937000000000001,271.903,16.6078,28.3081,8.289860000000001,0.0,629.509,47.9645,183.57299999999998
b4153,276441.0,303671.0,30.1251,589.117,17.8888,22.7769,14.9201,25.1829,1050.33,127.95100000000001,422.394
b4154,217721.0,290591.0,57.7679,1601.23,80.8466,59.3915,21.6425,197.84400000000002,1867.25,757.946,1578.57
b4155,148797.0,161698.0,37.7351,15.2205,18.158,28.7768,26.4796,35.2081,12.0141,11.6046,16.9469
b4156,42604.4,36915.6,3.82669,2.3803400000000003,1.6333,1.71092,3.1782,5.11085,2.16368,1.50421,3.9825
b4157,11211.0,11814.9,3.6170199999999997,3.32665,0.0,3.3045199999999997,0.0,0.0,2.52601,5.71005,4.8946
b4158,67265.9,70889.6,4.5212699999999995,4.98998,3.99349,1.6522599999999998,4.20616,0.0,5.05201,3.8067,6.29306
b4159,143886.0,166488.0,34.2388,15.6799,27.6596,28.4995,22.5614,15.9146,14.8683,18.3099,16.3937
b4160,1065550.0,1049120.0,214.06,204.734,180.718,223.717,178.81,187.532,266.438,189.66299999999998,175.09799999999998
b4161,919733.0,929757.0,198.267,389.265,207.528,182.24400000000003,165.35,188.775,313.26099999999997,256.245,331.228
b4162,555162.0,533757.0,157.882,146.501,159.494,126.198,137.386,92.7608,138.018,170.75599999999997,124.48100000000001
b4166,210929.0,146187.0,29.9428,51.8037,33.4037,20.8023,34.4224,43.8067,66.294,53.9185,51.0986
b4167,323797.0,359825.0,39.9586,54.2106,36.1434,28.7977,27.9016,10.8407,60.211999999999996,46.843999999999994,48.3323
