Gene ID,0 nM,1 nM,5 nM,10 nM,15 nM,20 nM,50 nM,100 nM,500 nM
YNL292W,55.87811212,54.51902914,55.34374616,53.2569475,54.32436171,52.98944076,47.90690931,41.08743862,35.09920187
YKL183C-A,1.95522534,2.278734846,1.672688345,0.458850305,0,1.204335608,0.800166435,0,0
YOR324C,29.2310514,28.94631838,28.92973702,26.74021211,25.77377476,25.27772548,21.62662223,20.21449778,21.57874652
YNL134C,222.8437801,222.877745,225.7107889,254.4678214,266.6546876,237.1681416,226.3805385,240.2432553,235.8670567
YKL100C,71.2986284,63.11522502,64.3648198,66.43257094,62.88312204,66.90723018,57.87613353,62.5591232,63.0109448
YOR192C-B,1.248282393,2.091306439,1.735339386,2.215401471,2.254789278,2.178518367,2.490410721,2.104864341,2.744034527
YPL021W,0.736248263,0.286022373,0.472393334,0,0.36064953,0,0,0,0
YIL146C,14.08648187,14.08637685,12.94359716,11.81517877,10.9253657,13.49704752,11.26275801,13.00472352,10.85491502
YLR299C-A,0,0,1.927227875,0,0,0,0,0.880839969,0
YNL218W,16.28171481,18.72448789,19.86258111,19.36697043,16.52697438,16.41302905,14.52917068,14.43318493,15.37420465
YIL121W,6.619902993,4.451091408,5.499939011,5.795944512,5.986604971,4.914004914,3.386453768,2.986631836,3.153237239
YNL228W,0.26707975,0.622540963,0.685457337,0.877492078,0.130828405,0.219346348,0.109301085,0.104429481,0.793835602
YDL167C,69.45261071,67.79843057,71.61182449,67.22380119,70.53462898,77.3013511,61.08913081,49.54571831,44.13024891
YPL214C,22.36093098,23.03273627,24.37669981,23.7493223,27.10196724,25.23808275,25.72766948,32.42490312,36.20647311
YOR228C,12.6680514,12.59159945,11.03274284,12.10596685,17.66586909,14.52807198,16.25360101,17.04638759,15.8300844
YBR270C,8.166081642,7.574438532,6.877742974,8.022172095,7.132026209,7.590428781,6.839296734,7.376025837,9.407703529
YGR222W,30.58229873,33.08347088,28.07496317,31.57890088,25.58237351,29.36701524,31.19286723,31.0903515,37.058877
YEL063C,82.69102563,80.51529791,83.5994909,77.67828126,75.74108238,82.32073387,67.3467395,70.29023418,68.02137749
YAL068W-A,0,0,0,0,0,0,0,0,0
YML020W,21.98304759,24.14651361,24.54171024,21.31882027,16.19070409,18.90778719,19.18393008,22.27102702,24.19990979
YGR121C,29.02676211,30.17961775,31.13033714,30.80195658,35.92452415,31.61258745,50.44296846,62.23092663,62.79644228
YBR222C,46.06347865,51.73515157,47.50598989,53.14111082,55.27423928,49.88455066,54.44762186,68.96366688,83.21824204
YDL095W,188.7928285,211.0531453,206.470294,198.8750375,143.986127,146.4468172,142.630564,155.9959326,171.9388152
YDL003W,54.98323682,59.77076821,60.17939091,49.49645228,8.18154673,12.46558198,2.295065609,2.097435409,2.657325764
YOR323C,135.0932264,145.8678609,152.5858052,151.6657673,154.5814962,143.8111508,142.6422243,149.0021176,156.3272831
YMR183C,81.89682869,90.77260192,63.06619652,66.56898828,63.86668116,62.84631438,56.70446646,50.06587134,62.04148909
YOR274W,26.6722536,25.29407493,25.50654622,24.20560239,24.63073632,26.20694219,21.83097941,22.6853964,22.67349213
YER146W,133.4980547,104.2973966,130.9280432,104.1998421,97.54863884,75.41455289,88.43974778,95.45672148,99.3810606
