gene,Var2,Var3,Var4,Var5,Var6,Var7
b0071,11.05771396,10.80016987,10.95643322,10.90566553,10.90537418,11.08870635
b4153,8.826459488,8.997205481,8.924384747,8.353234948,8.411118422,8.879824234
b4154,9.074888422,8.612736712,8.980679735,8.517017026,8.382984451,9.100696903
b0072,11.25617274,10.87146266,10.99695265,10.87018117,11.07499791,11.26861611
b4151,8.222595803,8.465007385,8.436768146,8.950174021,8.504189583,10.22331279
b0077,9.022338687,9.159158886,9.406102726,9.315943958,9.591456771,9.267994011
b0871,9.777511082,9.324445845,9.405809056,8.981495589,8.660231455,9.649977395
b0078,9.629646955,9.892054015,10.09745807,10.15472127,10.40985626,10.02720089
b2297,9.613717785,9.781053983,9.84470343,9.540038061,9.388373516,9.413949889
b3670,9.832663592,10.08873756,10.16402577,9.316682033,9.539646639,10.0273813
b0908,9.127263624,9.863330785,10.13698379,10.60934675,10.58828508,9.930092164
b1263,8.792613641,9.040369068,9.163007482,9.070821126,8.544304805,8.646308263
b2458,7.211399763,7.387760616,7.415551246,7.691009226,6.994742008,8.562912142
b3115,7.448047075,7.777402802,7.783764422,8.313325265,7.829621037,9.862936267
b1264,8.348754348,8.856541433,8.859033331,8.95531017,8.420135785,8.648127016
b2599,9.498921603,9.725271564,9.961237216,10.40651865,10.54795615,10.5278317
b1849,8.136309569,8.951106582,9.468593875,9.724081484,9.182780238,10.11020899
b2296,10.07608672,10.09683324,10.26529789,10.21095043,10.11581565,10.17263418
b2600,9.611431484,8.806202899,9.004785002,9.69860636,9.222227241,10.84900785
b2329,9.129339558,9.316435976,9.438879144,9.664369875,9.727118791,9.807496236
b3633,7.039058886,7.602989982,7.912028218,8.520903399,7.881897987,8.894120026
b1262,10.58679731,10.75397353,10.53017668,10.53312575,10.90566416,10.40418366
b2779,11.38885313,11.67665232,11.90928668,11.97102278,11.78894957,12.03106301
b0174,9.297817997,9.658669484,9.692624844,10.06913317,9.640503298,10.51468106
b2925,11.44816399,11.55754203,11.81918603,11.87386218,11.86180613,12.05340728
b2097,11.19428154,10.25557962,10.25545258,9.100894211,9.304172073,8.285845166
b0524,8.015113344,8.688351684,8.63343153,9.230663309,8.573248648,10.02601575
b0963,10.62699935,10.53915716,10.98535601,10.21756953,10.3473262,9.316990295
b0182,8.474002987,8.485853101,8.49411587,9.098981434,8.750736225,9.784970281
b1702,10.66396721,10.01520494,10.17019331,9.617869198,9.725870478,8.934572965
b4025,10.09682522,9.828254433,10.11968652,10.07006383,9.849405761,9.943554909
b0915,8.292660861,8.244046939,8.380527349,8.705536907,8.482271112,9.057940063
b2926,10.96129546,10.75624048,11.06723424,11.14425539,11.01094173,11.07659754
b2781,8.922440613,8.95750905,8.954264165,9.263456459,9.074721935,10.07861679
b1850,8.991714677,9.264110637,9.715056751,9.664923432,9.571666317,9.279456551
b0099,7.406897239,8.025710157,7.89955668,8.517566709,8.197657066,9.420606037
b0767,8.424709101,8.356530281,8.489802327,7.880933772,8.134494025,7.125582747
b3386,9.235866149,9.546313409,9.893418218,10.09422608,10.00881097,10.70332352
b3617,8.05261967,7.611548092,7.758773127,7.947882379,7.921056509,8.571332388
b0160,7.970001418,8.314761657,8.492394786,8.705876978,8.765247228,9.203949269
b0073,10.42320001,10.36361212,10.45101862,10.10321412,10.54436849,9.190626653
